Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Chateau Tebeau LLC,Commercial Scale Wind,SUREnergy,,,Helena OH,0.33,1,2010,,In Service,"41.32860734°, -83.27046633°",-83.27046633,41.32860734,3.2422985835521345,0.5811592405977372
Cherry Valley Elementary School Wind Project,Community Wind,,,,CO,0,1,2012,SkyStream,In Service,"39.22782°, -104.69808°",-104.69808,39.22782,2.478790120941356,-1.3179900426536562
Chesapeake Bay Test Site,Offshore Wind,Gamesa and Newport News Energy,Gamesa and Newport News Energy,,Atlantic Ocean VA,5,1,,Gamesa,Proposed,"37.243°, -76.062°",-76.062,37.243,3.9317808264213197,1.225719346306004
Chestnut Flats Wind Farm,Commercial Scale Wind,EnXco,Gamesa Energy,Delmarva Power,Logan Township PA,38,19,2011,Gamesa,In Service,"40.357314°, -78.594482°",-78.594482,40.357314,1.4873466477725046,0.8424789474203292
Chevak,Commercial Scale Wind,Chevak,STG Inc.,Chevak,Chevak 17 miles east of Hooper Bay AK,0.4,4,2009,Northern Power Systems,In Service,"61.516803°, -165.600108°",-165.600108,61.516803,4.244172554243598,-1.383566773693049
Chisolm View,Commercial Scale Wind,GE Energy Financial Service / Enel Green Power North America,TradeWind Energy,Alabama Power Company,Hunter OK,235.2,140,2012,GE Energy,In Service,"36.59527057°, -97.54501104°",-97.54501104,36.59527057,4.8817211417119175,-1.4764272586669245
Cimarron I,Commercial Scale Wind,CPV Renewable Energy,CPV Renewable Energy,Tennessee Valley Authority,Cimarron KS,165.6,72,2012,Siemens,In Service,"37.86252172°, -100.288868°",-100.288868,37.86252172,5.872052299254917,-1.9788186902886293
Cimarron II,Commercial Scale Wind,Duke Energy,CPV Renewable Energy,Kansas City Power & Light,Cimarron KS,131.1,57,2012,Siemens,In Service,"37.90154236°, -100.3934097°",-100.3934097,37.90154236,5.69914029772324,-1.9881298554789812
Cirrus 1,Commercial Scale Wind,Cirrus Wind Energy,Wind Tex Energy,Merchant,Tahoka TX,61.2,17,2012,China Creative Wind Energy,In Service,"33.027294°, -101.696782°",-101.696782,33.027294,12.19586800426946,-2.4304761549861826
Cisco Wind Energy Wind Farm,Commercial Scale Wind,John Deere Wind Energy,Community,Northern States Power,Brewster MN,8.4,4,2008,Suzlon Energy Company,In Service,"43.696164°, -95.467078°",-95.467078,43.696164,2.590019289040632,-2.6554962921082965
City of Geneseo,Community Wind,City of Geneseo,Johnson Controls / City of Geneseo,,Geneseo IL,3,2,2009,Vensys,In Service,"41.42597968°, -90.15475273°",-90.15475273,41.42597968,1.2899999618530273,0
City of Medford Wind Turbine,Definition:Small Scale Wind,City of Medford,Sustainable Energy Developments,City of Medford,Medford MA,0.1,1,2009,Northern Power Systems,In Service,"42.415768°, -71.107337°",-71.107337,42.415768,3.179559821547352,-0.15790991552117112
Clarion-Goldfield School Wind Farm,Definition:Small Scale Wind,Clarion-Goldfield High School,Clarion-Goldfield High School,Clarion-Goldfield High School,Wright County IA,0.05,1,2002,AOC,In Service,"42.737179°, -93.718132°",-93.718132,42.737179,2.2394643296128334,-2.8424371258945054
Clay Central Everly School Dist Wind Farm,Definition:Small Scale Wind,Clay Central/Everly School District,,Clay Central/Everly School District,IA,0.1,1,2006,,In Service,"43.1392°, -95.2644°",-95.2644,43.1392,3.9765437196059508,-2.6577003341876595
Cleveland Bay Wind Farm,Offshore Wind,,Lake Erie Energy Development Corporation / Great Lakes Ohio Wind / Great Lakes Energy Wind LLC / Freshwater Wind LLC / Cavallo Great Lakes Ohio Wind LLC,,Cleveland Bay OH,20,5,,GE Energy,Proposed,"41.608°, -81.809°",-81.809,41.608,4.72365329660608,0.7299827116774553
Cleveland Project Phase 2,Offshore Wind,,Lake Erie Energy Development Corporation,,Lake Erie OH,NaN,0,,,Proposed,"41.725°, -81.802°",-81.802,41.725,4.978453654655198,0.5852170848501421
Clover Hill High School Wind Project,Community Wind,,,,VA,0,1,2014,SkyStream,In Service,"37.447715°, -77.640287°",-77.640287,37.447715,0.7951100601330373,0.6963485600210623
Coastal Energy (CCAP),Commercial Scale Wind,Coastal Community Action Program,Coastal Energy LLC,Bonneville Power Admin,Grayland,6,4,2010,GE Energy,In Service,"46.793272°, -124.065341°",-124.065341,46.793272,4.834180557069036,-1.49418309186708
Colebrook South,Commercial Scale Wind,BNE Energy,BNE Energy,,Colebrook CT,4.8,3,,GE Energy,Under Construction,"41.9914071°, -73.0956765°",-73.0956765,41.9914071,3.1203204210512263,-0.16093374317415415
Colorado Green Wind Power Project,Commercial Scale Wind,Iberdrola Renewables/Shell WindEnergy,,Xcel Energy,Prowers County CO,162,108,2003,GE Energy,In Service,"37.725264°, -102.592406°",-102.592406,37.725264,5.6564299062538375,-1.755709867183495
Colorado Highlands,Commercial Scale Wind,Alliance Power Inc,Alliance Power Inc,Tri-State Generation & Transmission Assoc.,Haxtun CO,67.2,35,2012,GE Energy,In Service,"40.743606°, -102.752413°",-102.752413,40.743606,3.360907557497316,-1.9971775783255044
Combine Hills II,Commercial Scale Wind,Eurus,Eurus,Clark County PUD,Near Milton-Freewater OR,63,63,2009,Mitsubishi,In Service,"45.946742°, -118.56828°",-118.56828,45.946742,2.806724057977503,1.7535178848331443
Combine Hills Wind Farm,Commercial Scale Wind,Babcock & Brown/Eurus,Eurus,PacifiCorp,Near Umapine OR,41,41,2003,Mitsubishi,In Service,"45.94152°, -118.589137°",-118.589137,45.94152,2.806724057977503,1.7535178848331443
Community Wind North,Commercial Scale Wind,Edison Mission Group,Southwest Wind Consulting / Community Energy Developers Board / Lincoln County Enterprise Development,Xcel Energy,Lake Benton MN,30,12,2011,Clipper,In Service,"44.27150901°, -96.36889458°",-96.36889458,44.27150901,2.076174352463171,-1.8239523699937075
Community Wind South,Commercial Scale Wind,Juwi Wind,Juwi Wind,Xcel Energy,Rushmore MN,30.75,15,2012,REpower,In Service,"43.71323932°, -95.8056736°",-95.8056736,43.71323932,2.361906034271267,-2.3681699897350326
Community-Owned Projects,Community Wind,Dave Norgaard et al/John Deere Wind Energy,Dave Norgaard et al/John Deere Wind Energy,Xcel Energy,Buffalo Ridge MN,8.75,7,2006,Suzlon Energy Company,In Service,"44.0039°, -96.0526°",-96.0526,44.0039,2.0616983620176534,-2.0279364417754797
Conception Wind Project,Commercial Scale Wind,Wind Capital Group/John Deere Capital,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Nodaway County MO,50.4,24,2008,Suzlon Energy Company,In Service,"40.246984°, -94.675376°",-94.675376,40.246984,1.8569060452388066,-2.245537238940412
Concordia High School Wind Project,Community Wind,,,,KS,0,1,,SkyStream,,"39.566231°, -97.668411°",-97.668411,39.566231,5.03226579340029,-2.081562080035811
Condon Wind Project,Commercial Scale Wind,,SeaWest,Bonneville Power Admin,Gilliam County OR,24.6,41,2001,Mitsubishi,In Service,"45.282928°, -120.272233°",-120.272233,45.282928,1.4420124664720115,0.9231343417454797
Condon Wind Project phase II,Commercial Scale Wind,,SeaWest,Bonneville Power Admin,Gilliam County OR,25.2,42,2002,Mitsubishi,In Service,"45.306062°, -120.255847°",-120.255847,45.306062,1.4420124664720115,0.9231343417454797
Conneaut Middle School Wind Turbine,Community Wind,Conneaut Middle School,NexGen Energy Partners,Conneaut Middle School,Conneaut OH,0.6,1,2010,Elecon,In Service,"41.92601°, -80.557126°",-80.557126,41.92601,1.5352198248281421,0.8176450706163387
Conneaut Wastewater Facility Wind Turbine,Community Wind,Conneaut Wastewater Facility,NexGen Energy Partners,Conneaut Wastewater Facility,Conneaut OH,0.4,1,2010,,In Service,"41.968223°, -80.552268°",-80.552268,41.968223,2.402269758689689,0.6584875126530413
Consumers 2 Wind Farm,Definition:Small Scale Wind,,Consumers Energy,Consumers Energy,Marshalltown IA,0.07,1,2004,Nordtank 65,In Service,"42.0518°, -92.9079°",-92.9079,42.0518,1.6360012751757365,-0.28501659836697674
Cooper Farms,Community Wind,V.H. Cooper and Co Inc,One Energy LLC,Cooper Farms,Van Wert OH,4.5,3,2012,Goldwind,In Service,"40.9061044°, -84.5719964°",-84.5719964,40.9061044,2.033346940200909,0.32019534713878833
Coram Energy (Aeroman Repower) Wind Farm I,Commercial Scale Wind,Coram Energy,Coram Energy,Southern California Edison Co,Tehachapi CA,10.5,7,2005,GE Energy,In Service,"35.072998°, -118.264046°",-118.264046,35.072998,3.017051534472405,-0.7291196247513739
Coram Energy (Aeroman Repower) Wind Farm II,Commercial Scale Wind,Coram Energy,Coram Energy,Southern California Edison Co,Tehachapi CA,4.5,3,2004,GE Energy,In Service,"35.072998°, -118.264046°",-118.264046,35.072998,3.017051534472405,-0.7291196247513739
Corn Plus Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,N/a,MN,4.2,2,2008,Suzlon Energy Company,In Service,"43.760635°, -94.149617°",-94.149617,43.760635,3.7654482365698496,2.941072106939148
Cottonwood Wind Farm,Commercial Scale Wind,,Farmer cooperative,Alliant Energy,MN,15,12,2005,Suzlon Energy Company,In Service,"44.4068°, -95.6727°",-95.6727,44.4068,0.08062257729815935,-2.0899424295789877
Cow Branch Wind Energy Center Wind Farm,Commercial Scale Wind,Wind Capital Group/John Deere Capital,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Atchison County MO,50.4,24,2008,Suzlon Energy Company,In Service,"40.423897°, -95.477781°",-95.477781,40.423897,1.8067927480295785,-2.0418695347644484
Crane Creek Wind Farm,Commercial Scale Wind,EnXco,EnXco,Wisconsin P ublic Service Group,Northeast of Riceville IA,99,66,2009,GE Energy,In Service,"43.410108°, -92.51652°",-92.51652,43.410108,3.5285408750585248,-2.674142785277723
Crawford Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.679348°, -103.405991°",-103.405991,42.679348,0.5860034084432509,0.9307081809760328
Creighton Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.457375°, -97.904587°",-97.904587,42.457375,2.163007120008298,-1.2461217981352783
Crescent Ridge Wind Farm,Commercial Scale Wind,Babcock & Brown/Eurus,Midwest Wind Energy/Eurus,Exelon,Bureau County IL,54.45,33,2005,Vestas,In Service,"41.252365°, -89.579523°",-89.579523,41.252365,1.5138031487305033,0.8134282324885579
Criterion,Commercial Scale Wind,Constellation Energy,,Old Dominion Electric Cooperative,Backbone Mountain,70,28,2010,Clipper,In Service,"39.40457387°, -79.29035783°",-79.29035783,39.40457387,0.4860040987503229,2.210182236266293
Criterion Wind Park,Commercial Scale Wind,Constellation Energy,Constellation Energy,Old Dominion,Garrett County MD,70,28,2010,Clipper,In Service,"39.317075°, -79.377451°",-79.377451,39.317075,0.29068883461441813,2.4292350590223664
Crofton Bluffs,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,NPPD / OPPD / Municipal Energy Agency of Nebraska / Lincoln Electric System,Crofton NE,40,0,2012,Vestas,In Service,"42.69782893°, -97.61919022°",-97.61919022,42.69782893,1.6032779128409176,-1.981421040700595
Crofton Hills Wind Farm,Commercial Scale Wind,Crofton Hills Wind,Juhl Wind,NPPD,South of Crofton NE,42,14,2010,Vestas,In Service,"42.700138°, -97.505236°",-97.505236,42.700138,1.6233606912398386,-1.9295669970654687
Crookston Wind Farm,Definition:Small Scale Wind,Phoenix Industries,Phoenix Industries,Otter Tail Power Co.,Crookston MN,0.08,1,1987,NA,In Service,"47.7716°, -96.6059°",-96.6059,47.7716,2.9695286822831073,2.673427007503062
Crossroads (2.3 MW),Commercial Scale Wind,Oklahoma Gas & Electric,Renewable Energy Systems Ltd,Oklahoma Gas & Electric,Near Canton OK,218.5,95,2011,Siemens,In Service,"36.09363399°, -98.76717026°",-98.76717026,36.09363399,6.260199906207081,-1.5628092763641959
Crossroads (3 MW),Commercial Scale Wind,Oklahoma Gas & Electric,Renewable Energy Systems Ltd,Oklahoma Gas & Electric,Near Canton OK,9,3,2011,Siemens,In Service,"36.019889°, -98.669894°",-98.669894,36.019889,6.098934486217664,-1.516662076389826
Crossroads Expansion,Commercial Scale Wind,Oklahoma Gas & Electric,RES Americas,Oklahoma Gas & Electric,,32,0,2012,Siemens,In Service,"36.021°, -98.667°",-98.667,36.021,6.098934486217664,-1.516662076389826
Crosswinds Wind Farm,Commercial Scale Wind,Community Wind/Edison Mission Group,Community Wind/Edison Mission Group,,Palo Alto County IA,21,10,2007,Suzlon Energy Company,In Service,"43.075449°, -94.895575°",-94.895575,43.075449,4.465120236859303,-2.7822977124566832
Crow Lake Wind,Commercial Scale Wind,Prairie Winds SD 1 Inc. (100) Mitchell Technical Institute (1) South Dakota Wind Partners (7),Prairie Winds SD 1 Inc.,Basin Electric Power Cooperative,White Lake SD,162,108,2011,GE Energy,In Service,"43.920959°, -98.7282157°",-98.7282157,43.920959,1.9108637236033301,-1.8627543738739016
Crystal Lake - Clipper (08) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,IA,190,76,2008,Clipper,In Service,"43.221728°, -93.833227°",-93.833227,43.221728,5.57660285208295,-3.0644081622814334
Crystal Lake - Clipper (09) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,IA,10,4,,Clipper,In Service,"41.8780025°, -93.097702°",-93.097702,41.8780025,1.678719717279524,-0.14947905212247026
Crystal Lake - GE Energy Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,IA,150,100,2008,GE Energy,In Service,"43.194201°, -93.860521°",-93.860521,43.194201,5.57660285208295,-3.0644081622814334
Crystal Lake II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Hancock/Winnebago Counties IA,200,80,2009,Clipper,In Service,"43.16151°, -93.855786°",-93.855786,43.16151,5.57660285208295,-3.0644081622814334
Crystal Lake III,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Hancock/Winnebago Counties IA,66,44,2009,GE Energy,In Service,"43.304401°, -93.824029°",-93.824029,43.304401,5.502326780449848,-3.1125099473452837
Cumberland Rose,Community Wind,Cumberland Rose Wind Energy LLC (community owned),,City of Fontanelle - excess to Central Iowa Power Coopeative,Orient IA,1.6,1,2012,GE Energy,In Service,"41.22534409°, -94.44139481°",-94.44139481,41.22534409,0.8792042067650148,-2.550435489458077
DH Blattner,Definition:Small Scale Wind,,,,Avon MN,0.1,1,2009,Northern Power Systems,In Service,"45.604755°, -94.443096°",-94.443096,45.604755,1.62077142971193,-2.5895334532967182
Dakota Valley Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"42.548355°, -96.524841°",-96.524841,42.548355,2.0788457973425363,-1.7644183259952833
Danielson Wind,Commercial Scale Wind,,Juhl Wind,Xcel Energy,Near Atwater in Meeker County MN,19.8,12,2011,Alstom,In Service,"45.066913°, -94.738026°",-94.738026,45.066913,3.041710093323219,-2.8822609231045893
Day County Wind Project,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,East of Groton SD,99,66,2010,GE Energy,In Service,"45.457157°, -97.754831°",-97.754831,45.457157,2.8621669472253126,-2.677945044588987
Deepwater Wind Farm,Offshore Wind,PSEG Renewable Generation / Deepwater Wind LLC,Garden State Offshore Energy,,Atlantic Ocean NJ,345.6,96,,,Proposed,"39.091°, -74.306°",-74.306,39.091,5.518931026785986,1.036591795825202
Delaware Mountain Wind Farm,Commercial Scale Wind,NextEra Energy Resources,American National Wind Power/Orion Energy,Lower Colorado River Authority,Culberson County TX,28.5,38,1999,Zond,In Service,"31.670717°, -104.739534°",-104.739534,31.670717,7.929697381218833,-2.328547618502157
Delta Junction Wind Farm,Definition:Small Scale Wind,Alaska Environmental Power,Alaska Environmental Power,,South of Delta Junction AK,0.1,1,2008,DES,In Service,"64.069461°, -145.717661°",-145.717661,64.069461,3.2286995235991585,-0.6026063721557124
Desert Sky Wind Farm,Commercial Scale Wind,American Electric Power,GE Energy,City of San Antonio Texas (Utility Company),Pecos County TX,160.5,107,2001,GE Energy,In Service,"30.926626°, -102.100067°",-102.100067,30.926626,3.6520269279207973,2.2104639422392
Desert Wind Power,Commercial Scale Wind,,Iberdrola Renewables,,Pasquotank and Perquimans Counties NC,300,150,,,Proposed,"36.435688°, -76.232786°",-76.232786,36.435688,2.4490202248261164,1.9869476928401415
Diablo Winds Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Pacific Gas & Electric Co,Altamont Pass CA,20.46,31,2004,Vestas,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Diamond Willow Extension,Commercial Scale Wind,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,Near Baker MT,10.5,7,2010,GE Energy,In Service,"46.281621°, -104.271355°",-104.271355,46.281621,3.310740147929206,2.3262888568165314
Diamond Willow Wind (07) Wind Farm,Commercial Scale Wind,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,Near Baker MT,1.5,1,2007,GE Energy,In Service,"46.274903°, -104.183013°",-104.183013,46.274903,3.2088784559845833,2.2966622770634175
Diamond Willow Wind (08) Wind Farm,Commercial Scale Wind,Montana-Dakota Utilities,Montana-Dakota Utilities,Montana-Dakota Utilities,Near Baker MT,18,12,2008,GE Energy,In Service,"46.268046°, -104.201742°",-104.201742,46.268046,2.937567089726928,2.310443293384162
Difwind I Wind Farm,Commercial Scale Wind,EnXco,,Southern California Edison Co,San Gorgonio CA,12.42,115,,Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Difwind II Wind Farm,Commercial Scale Wind,EnXco,,Southern California Edison Co,San Gorgonio CA,2.54,39,,Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Difwind V Wind Farm,Commercial Scale Wind,EnXco,Seawest,Southern California Edison Co,San Gorgonio CA,7.88,73,,Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Dilcon Community School Inc Wind Project,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"35.370472°, -110.329382°",-110.329382,35.370472,3.706480731440085,2.8795999258418687
Diller-Odell High School Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"40.054523°, -96.806374°",-96.806374,40.054523,3.861204371208975,-2.091227377120009
Dillon Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Southern California Edison Co,Palm Springs CA,45,45,2008,Mitsubishi,In Service,"33.939323°, -116.589503°",-116.589503,33.939323,3.2515380976236496,-0.030759526528532827
Dispersed Project Wind Farm,Commercial Scale Wind,,Northern Alternative Energy,Xcel Energy,Lincoln County MN,5.94,9,2000,Vestas,In Service,"44.4039°, -96.2646°",-96.2646,44.4039,2.0852098141561846,-1.2839329893354385
Don Sneve Wind Project,Commercial Scale Wind,Sneve Wind Farms- LLC,Diversified Energy Solutions,Alliant,Hendricks in Lincoln County MN,0.95,1,2003,NEG Micon,In Service,"44.412°, -96.2481°",-96.2481,44.412,2.0852098141561846,-1.2839329893354385
Dry Lake II Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Salt River Project,Northwest of Snowflake AZ,65.1,31,2010,Suzlon Energy Company,In Service,"34.635651°, -110.357351°",-110.357351,34.635651,3.229814153335155,2.846280592418031
Dry Lake Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Iberdrola Renewables,Navajo County AZ,63,30,2009,Suzlon Energy Company,In Service,"34.635651°, -110.357351°",-110.357351,34.635651,3.229814153335155,2.846280592418031
Dunlap Wind Energy Project,Commercial Scale Wind,PacifiCorp,PacifiCorp,,North of Medicine Bow in Carbon County WY,111,74,2010,GE Energy,In Service,"42.013591°, -106.21419°",-106.21419,42.013591,8.073295363403334,2.715067676787027
Dutch Hill/Cohocton Wind Farm,Commercial Scale Wind,First Wind,First Wind,Market,Steuben County NY,125,50,2008,Clipper,In Service,"42.52342°, -77.500303°",-77.500303,42.52342,2.4449540548308017,0.11065722251998063
Dutch Pacific Wind Farm,Commercial Scale Wind,Dutch Pacific- LLC,Dutch Pacific- LLC,Southern California Edison Co,San Gorgonio CA,10,20,1994,NedWind,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Dynapower,Definition:Small Scale Wind,Dynapower,,Dynapower,South Burlington VT,0.1,1,2010,Northern Power Systems,In Service,"44.44306428°, -73.15507293°",-73.15507293,44.44306428,1.0737783940727643,-1.0112098635511
East Ridge Wind Farm,Commercial Scale Wind,Edison Mission Group owns majority,Edison Mission Group,Xcel Energy,Lincoln County MN,10,8,2006,Suzlon Energy Company,In Service,"44.4039°, -96.2646°",-96.2646,44.4039,2.0852098141561846,-1.2839329893354385
East Winds (formerly Altech III) Wind Farm,Commercial Scale Wind,Nichimen America,SeaWest,Southern California Edison Co,San Gorgonio CA,4.2,7,1997,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Easton Pond Business Center,Definition:Small Scale Wind,,,,Middletown RI,0.1,1,2009,Northern Power Systems,In Service,"41.50220171984°, -71.28672659°",-71.28672659,41.50220171984,4.224653891466345,0.1281717732120392
Echo 1-7 Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,PacifiCorp,Morrow and Umatilla Counties OR,44.55,27,2009,Vestas,In Service,"45.521953°, -119.248549°",-119.248549,45.521953,2.5459378371935593,1.1968543877760647
Echo 8-9 Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,PacifiCorp,Morrow and Umatilla Counties OR,20,10,2009,REpower,In Service,"45.521953°, -119.248549°",-119.248549,45.521953,2.5459378371935593,1.1968543877760647
Eclipse,Commercial Scale Wind,MidAmerican Energy,Clipper Windpower Development Company,MidAmerican Energy,Adair IA,200.1,87,2012,Siemens,In Service,"41.53604897°, -94.65567112°",-94.65567112,41.53604897,0.832165819129905,1.2148385860447604
EcoGrove Wind Farm,Commercial Scale Wind,Acciona,Acciona,,Stephenson County IL,100.5,67,2009,Acciona,In Service,"42.452903°, -89.840816°",-89.840816,42.452903,2.398853882771056,-2.394523790197985
Edom Hills (repower) Wind Farm,Commercial Scale Wind,BP Alternative Energy,BP Alternative Energy,Southern California Edison Co,CA,20,8,2008,Clipper,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Elbow Creek Wind Farm,Commercial Scale Wind,Padoma,Padoma,,Howard County TX,121.9,53,2008,Siemens,In Service,"32.133515°, -101.415676°",-101.415676,32.133515,1.9859506448450264,2.5424173245583908
Eldora-New Providence Schools Wind Farm,Community Wind,Eldora - New Providence Schools,Eldora - New Providence Schools,Eldora - New Providence Schools,Hardin County IA,0.75,1,2002,NEG Micon,In Service,"42.3794°, -93.2497°",-93.2497,42.3794,1.371860049781064,-0.7750892293484072
Elk,Commercial Scale Wind,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Greeley IA,42.5,17,2011,Nordex,In Service,"42.58659755°, -91.36861324°",-91.36861324,42.58659755,3.583364235692993,-2.621754250774992
Elk City II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,Roger Mills and Beckham Counties OK,100.8,66,2010,GE Energy,In Service,"35.569747°, -99.448256°",-99.448256,35.569747,5.697867890520095,-1.7134379866448646
Elk City Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Public Service Company of Oklahoma,Roger Mills and Beckham Counties OK,98.9,43,2009,Siemens,In Service,"35.472664°, -99.442602°",-99.442602,35.472664,5.829588318123439,-1.7362270084676998
Elk River Wind Farm,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,Empire District Electric Co.,Butler County KS,150,100,2005,GE Energy,In Service,"37.586575°, -96.547093°",-96.547093,37.586575,5.598758808290027,-1.9552827627699503
Elkhorn Ridge Wind Farm,Commercial Scale Wind,Edison Mission Group,Midwest Wind Energy,Nebraska Public Power District,Knox County north of Bloomfield NE,81,27,2009,Vestas,In Service,"42.654519°, -97.660224°",-97.660224,42.654519,1.6032779128409176,-1.981421040700595
Elkhorn Valley (07) Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Idaho Power,Union County OR,97.35,59,2007,Vestas,In Service,"45.05034°, -117.780011°",-117.780011,45.05034,1.7035551537867817,-1.506180525053451
Elkhorn Valley (08) Wind Farm,Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Idaho Power,OR,3.3,2,2008,Vestas,In Service,"45.05034°, -117.780011°",-117.780011,45.05034,1.7035551537867817,-1.506180525053451
Elkhorn Valley Public Schools Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.047836°, -97.831329°",-97.831329,42.047836,2.7290473846537644,-0.8554133975302033
Elkton Schools District Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"44.229973°, -96.482101°",-96.482101,44.229973,2.210542847905568,-1.9025608774808824
Elm Creek II,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Jackson and Martin County MN,148.8,62,2011,Mitsubishi,In Service,"43.756372°, -94.956014°",-94.956014,43.756372,2.7580065259615076,3.065376938159172
Elm Creek Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Great River Energy,MN,99,66,2008,GE Energy,In Service,"43.780285°, -94.845586°",-94.845586,43.780285,2.881336390596524,3.0198205179125726
Elmwood CUSD,Community Wind,Elmwood CUSD#322,,,IL,0,1,,SkyStream,In Service,"40.781182°, -89.969959°",-89.969959,40.781182,1.8350476274883876,2.464298517636543
Endeavor (2Q08) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Alliant/IES Utilities,Osceola and Dickenson Counties IA,62.5,25,2008,Clipper,In Service,"43.427012°, -95.414987°",-95.414987,43.427012,3.314287291245133,-2.6617521436990654
Endeavor (3Q07) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Alliant/IES Utilities,Osceola and Dickenson Counties IA,25,10,2007,Clipper Windpower,In Service,"43.416841°, -95.423477°",-95.423477,43.416841,3.314287291245133,-2.6617521436990654
Endeavor (3Q08) Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Osceola and Dickenson Counties IA,12.5,5,2008,Clipper,In Service,"43.432497°, -95.452752°",-95.452752,43.432497,3.2460745022750523,-2.6297066129337954
Endeavor II Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Osceola and Dickenson Counties IA,50,20,2008,Clipper,In Service,"43.427012°, -95.414987°",-95.414987,43.427012,3.314287291245133,-2.6617521436990654
Energy Concepts,Definition:Small Scale Wind,,,,Hudson WI,0.1,1,2009,Northern Power Systems,In Service,"44.942933°, -92.701608°",-92.701608,44.942933,2.128778961755183,-2.6842474762315103
Energy Unlimited Wind Farm I,Commercial Scale Wind,,Energy Unlimited,Southern California Edison Co,San Gorgonio CA,14.5,148,,Bonus; Delta; Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Energy Unlimited Wind Farm II,Commercial Scale Wind,Energy Unlimited,Energy Unlimited,Southern California Edison Co,San Gorgonio CA,10,10,1999,Nordex,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Ensign,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,KCP&L Greater Missouri Operations,Ensign KS,98.9,43,2012,Siemens,In Service,"37.61259964°, -100.3458595°",-100.3458595,37.61259964,6.007869690462895,-1.922553666849759
